#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
11,"Freitag L, Tekolf E, Steveling H, Donovan TJ, Stamatis G. Management of malignant esophagotracheal fistulas with airway stenting and double stenting. Chest. 1996;110(5). doi:10.1378/chest.110.5.1155.",Management of malignant esophagotracheal fistulas with airway stenting and double stenting,Chest,1996,110,5,,10.1378/chest.110.5.1155,,Freitag L; Tekolf E; Steveling H; Donovan TJ; Stamatis G
12,"Mammana M, Pangoni A, Lorenzoni G. Adult benign, non-iatrogenic bronchoesophageal fistulae: systematic review and descriptive analysis of individual patient data. World J Surg. 2021;45. doi:10.1007/s00268-021-06266-2.","Adult benign, non-iatrogenic bronchoesophageal fistulae: systematic review and descriptive analysis of individual patient data",World J Surg,2021,45,,,10.1007/s00268-021-06266-2,,Mammana M; Pangoni A; Lorenzoni G
13,"Burt M, Diehl W, Martini N et al.. Malignant esophagorespiratory fistula: management options and survival. Ann Thorac Surg. 1991;52(6). doi:10.1016/0003-4975(91)90005-b.",Malignant esophagorespiratory fistula: management options and survival,Ann Thorac Surg,1991,52,6,,10.1016/0003-4975(91)90005-b,1755674,Burt M; Diehl W; Martini N; Bains MS; Ginsberg RJ; Mccormack PM; Rusch VW
14,"Couraud L, Ballester MJ, Delaisement C. Acquired tracheoesophageal fistula and its management. Semin Thorac Cardiovasc Surg. 1996;8(4).",Acquired tracheoesophageal fistula and its management,Semin Thorac Cardiovasc Surg,1996,8,4,,,,Couraud L; Ballester MJ; Delaisement C
15,"Halligan S. and 2. 2nd ed. UK. Harcourt Publishers Ltd; 2000. £265, illustrated, pp 2261. ISBN 072167836. 2002;1:298.",and 2. 2nd ed. UK,"Harcourt Publishers Ltd; 2000. £265, illustrated, pp 2261. ISBN 072167836",2002,1,,298,,,Halligan S
16,"Mathisen DJ, Grillo HC, Wain JC, Hilgenberg AD. Management of acquired nonmalignant tracheoesophageal fistula. Ann Thorac Surg. 1991;52(4). doi:10.1016/0003-4975(91)91207-c.",Management of acquired nonmalignant tracheoesophageal fistula,Ann Thorac Surg,1991,52,4,,10.1016/0003-4975(91)91207-c,,Mathisen DJ; Grillo HC; Wain JC; Hilgenberg AD
17,"Morikawa K, Izawa N, Kida H, Handa H, Inoue T, Mineshita M. Detection of a pinhole-sized bronchoesophageal fistula under bronchoscopic autofluorescence imaging. Thorac Cancer. 2021;12(13). doi:10.1111/1759-7714.14008.",Detection of a pinhole-sized bronchoesophageal fistula under bronchoscopic autofluorescence imaging,Thorac Cancer,2021,12,13,,10.1111/1759-7714.14008,34002538,Morikawa K; Izawa N; Kida H; Handa H; Inoue T; Mineshita M
18,"Levine H, Schonfeld T, Handelsman S et al.. Low flow intermittent bronchoscopic oxygen insufflation to identify occult tracheo-esophageal fistulas. Respir Med. 2021;186:106544. doi:10.1016/j.rmed.2021.106544.",Low flow intermittent bronchoscopic oxygen insufflation to identify occult tracheo-esophageal fistulas,Respir Med,2021,186,,106544,10.1016/j.rmed.2021.106544,,Levine H; Schonfeld T; Handelsman S; Bar-On O; Steuer G; Mei-Zahav M; Prais D; Stafler P
19,"Fitzgerald RH, Bartles DM, Parker EF. Tracheoesophageal fistulas secondary to carcinoma of the esophagus. J Thorac Cardiovasc Surg. 1981;82(2).",Tracheoesophageal fistulas secondary to carcinoma of the esophagus,J Thorac Cardiovasc Surg,1981,82,2,,,,Fitzgerald RH; Bartles DM; Parker EF
20,"Bibas BJ, Cardoso P, Minamoto H, Fernandes P, PM. Surgery for intrathoracic tracheoesophageal and bronchoesophageal fistula. Ann Transl Med. 2018;6(11):210. doi:10.21037/atm.2018.05.25.",Surgery for intrathoracic tracheoesophageal and bronchoesophageal fistula,Ann Transl Med,2018,6,11,210,10.21037/atm.2018.05.25,30023373,Bibas BJ; Cardoso P; Minamoto H; Fernandes P; PM
